,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
50," Motor Yachts, Flybridge",Power,Diesel,,Fiberglass,,,62',"Enroute To Staten Island, NY",Maritimo Yachts,,Other,2018,Maritimo Yachts,M62,Request,2018
51," Motor Yachts, Downeast",Power,Diesel,,Fiberglass,Modified Vee,,62',"Norwalk, CT",Offshore,,Twin Inboard,1999,Offshore,62 Pilot House,"$795,000",1999
52," Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,Displacement,,61',"City Island, NY",Birchwood,,Twin Inboard,1989,Birchwood,61 Motor Yacht TS/54,"$259,000",1989
53," Motor Yachts, Flybridge",Power,Diesel,Hatteras MY,Fiberglass,,,61',"Norwalk, CT",Hatteras,,Twin Inboard,1981,Hatteras,61 Motor Yacht,"$249,995",1981
54, Sports Fishing Boats,Power,Diesel,,Fiberglass,,,61',"Staten Island, NY",Viking,,Twin Inboard,2001,Viking,Convertible,"$834,000",2001
55, Cruisers,Sails,Diesel,,Fiberglass,,,60',Norwalk,Beneteau,,Other,2017,Beneteau,Oceanis 60,Request,2017
56, Convertible Boats,Power,Diesel,,Composite,,,60',"Queens, NY",Carolina Custom,,Twin Inboard,2012,Carolina Custom,60 Sportfish,"$1,950,000",2012
57," Motor Yachts, Sports Cruiser",Power,Diesel,,Fiberglass,Modified Vee,,60',"New Rochelle, NY",Viking Cockpit Sport,,Twin Inboard,2001,Viking Cockpit Sport,Naples Edition,"$695,000",2001
58," Flybridge, Express Cruiser",Power,Diesel,,Fiberglass,,,60',"Glen Cove, NY",Princess Viking Sport Cruisers,,Twin Inboard,1999,Princess Viking Sport Cruisers,Flybridge,"$379,000",1999
59, Flybridge,Power,Diesel,,Fiberglass,,,60',"Port Washington, NY",Princess,,Twin Inboard,2014,Princess,60 Flybridge,"$1,345,000",2014
60," Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,Semi Displacement,,58',"Norwalk, CT",Hatteras,,Twin Inboard,1986,Hatteras,58 Motor Yacht,"$250,000",1986
61," Sports Fishing Boats, Saltwater Fishing",Power,Diesel,XYU1258FH091,Fiberglass,Modified Vee,,58',"North East, MD",Ocean Yachts,,Twin Inboard,1991,Ocean Yachts,58 Super Sport,"$229,000",1991
62, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,58',"Norwalk, CT",Sea Ray,,Twin Inboard,2006,Sea Ray,58 Sedan Bridge,"$579,000",2006
63, Motor Yachts,Power,Diesel,,Fiberglass,,,57',"Jersey City, NJ",Pacemaker,,Twin Inboard,1979,Pacemaker,57 Motor Yacht,"$149,900",1979
64, Express Cruiser,Power,,,Fiberglass,,,57',"Port Washington, NY",Sunseeker,,Other,2017,Sunseeker,57 Predator,Request,2017
65, High Performance Boats,Power,,,Fiberglass,,,57',"Port Washington, NY",Sunseeker,,Other,2016,Sunseeker,57 Predator,"$1,379,000",2016
66," Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,,,57',"Haverstraw, NY",Viking,,Twin Inboard,2006,Viking,Sport Cruiser,"$735,000",2006
67," Sports Fishing Boats, Convertible Boats",Power,Diesel,,Fiberglass,Modified Vee,,56',"Laurence Harbor, NJ",Ocean Yachts,,Twin Inboard,2001,Ocean Yachts,Super Sport,"$339,000",2001
68," Flybridge, Motor Yachts",Power,Diesel,,Fiberglass,,,55',"Port Washington, NY",Sunseeker,,Twin Inboard,2016,Sunseeker,Manhattan 55,Request,2016
69, Cruisers,Power,Diesel,,Fiberglass,,,55',"Greenwich, CT",Uniesse,,Twin Inboard,2011,Uniesse,Cruiser,"$899,000",2011
70, Convertible Boats,Power,Diesel,,Fiberglass,,,55',"Lawrence, NY",Viking Yacht,,Other,1999,Viking Yacht,Convertible,"$570,000",1999
71," Motor Yachts, Cruisers, Flybridge",Power,Diesel,,Fiberglass,Deep Vee,,55',"Island Park, NY",Sea Ray,,Twin Inboard,1994,Sea Ray,550 Sedan Bridge,"$84,000",1994
72," Convertible Boats, Saltwater Fishing, Sports Fishing Boats",Power,Diesel,,Fiberglass,Modified Vee,,54',Freeport,Hatteras,,Twin Inboard,1995,Hatteras,54 Convertible,"$269,000",1995
73," Motor Yachts, Flybridge, Pilothouse",Power,Diesel,OSH54037J001,Fiberglass,,,54',"Buffalo, NY",Offshore,,Twin Inboard,2001,Offshore,54 Pilot House,"$625,000",2001
74," Motor Yachts, Pilothouse",Power,Diesel,,Fiberglass,Deep Vee,,53',"Huntington, NY",Carver,,Twin Inboard,1998,Carver,530 Voyager Pilothouse,"$209,000",1998
75, Cruisers,Power,Diesel,,Fiberglass,,,53',"Huntington, NY",Carver,,Twin Inboard,1998,Carver,Voyager,"$254,800",1998
76," Motor Yachts, Pilothouse",Power,Diesel,,Fiberglass,,,53',"New Rochelle, NY",DeFever,,Other,1987,DeFever,53 POC,"$419,000",1987
77, Sports Fishing Boats,Power,Diesel,,Fiberglass,,,53',"Humacao, Puerto Rico",Hatteras,,Twin Inboard,1976,Hatteras,53 Convertible,"$149,000",1976
78, Trawlers,Power,Diesel,,Fiberglass,,,53',"Greenwich, CT",Lyman-Morse,,Single Inboard,1979,Lyman-Morse,Downeast,"$55,000",1979
79," Cruisers, Ketch",Sails,Diesel,,Fiberglass,,,53',"Erie, PA",Pearson,,Other,1981,Pearson,530,"$185,000",1981
80," Motor Yachts, Flybridge",Power,Diesel,,Fiberglass,Deep Vee,,52',"Long Island, NY",Azimut,,Twin Inboard,2000,Azimut,52,"$349,000",2000
81," Cruisers, Express Cruiser",Power,Diesel,,Fiberglass,Semi Displacement,,52',"Merrick, NY",Cruisers Yachts,,Twin Inboard,2005,Cruisers Yachts,520 Express,"$342,000",2005
82, Motor Yachts,Power,Diesel,,Fiberglass,,,52',"New Rochelle, NY",Hatteras,,Twin Inboard,1990,Hatteras,52 Cockpit Motor Yacht,"$214,900",1990
83," Sports Fishing Boats, Flybridge",Power,Diesel,,Fiberglass,,,52',"Westport, CT",Ocean,,Other,2001,Ocean,Super Sport,"$349,000",2001
84," Express Cruiser, Motor Yachts",Power,Diesel,,Fiberglass,,,52',"Brooklyn, NY",Pershing,,Other,2001,Pershing,52,"$299,000",2001
85, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,52',"Sackets Harbor, NY",Sea Ray,,Twin Inboard,2005,Sea Ray,52 Sedan Bridge,"$439,000",2005
86, Motor Yachts,Power,Diesel,RGMPK019J708,Fiberglass,Deep Vee,,52',"North East, MD",Regal,,Twin Inboard,2008,Regal,52 Sport Coupe,"$375,000",2008
87, Flybridge,Power,,,Fiberglass,,,52',"Port Washington, NY",Sunseeker,,Other,2017,Sunseeker,Manhattan 52,Request,2017
88, Flybridge,Power,,,Fiberglass,,,52',"Port Washington, NY",Sunseeker,,Other,2017,Sunseeker,Manhattan 52,Request,2017
89," Sports Cruiser, Express Cruiser",Power,Diesel,,Fiberglass,,,52',"Lawrence, NY",Viking,,Other,2016,Viking,52 Sport Coupe,"$1,799,000",2016
90, Cruisers,Sails,Diesel,,Fiberglass,,,51',"Sodus Point, NY",Jeanneau,,Other,1992,Jeanneau,Sun Odyssey 51,"$95,000",1992
91, Motor Yachts,Power,Other,,Fiberglass,Other,,51',"Alexandria Bay, NY",Sea Ray,,Other,2005,Sea Ray,460 Sundancer - Brokerage Boat,"$269,000",2005
92, Express Cruiser,Power,Diesel,,Fiberglass,Deep Vee,,51',"Tonawanda, NY",Sea Ray,,Twin Inboard,2001,Sea Ray,510 Sundancer,"$249,000",2001
93, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,50',"Mahopac, NY",Sea Ray,,Twin Inboard,2002,Sea Ray,480 Motor  Yacht,"$330,000",2002
94," Convertible Boats, Sports Fishing Boats",Power,Diesel,,Fiberglass,,,50',"Stratford, CT",2006 Post Marine,,Twin Inboard,2006,2006 Post Marine,50 Convertible,"$435,000",2006
95," Cruisers, Racers and Cruisers",Sails,Diesel,,Fiberglass,,,50',"Norwalk, CT",Alden,,Other,1989,Alden,50,"$349,000",1989
96, Motor Yachts,Power,Diesel,,Wood,,,50',"Jersey City, NJ",Grand Banks,,Twin Inboard,1974,Grand Banks,50,"$139,000",1974
97, Trawlers,Power,Diesel,,Fiberglass,,,50',"Erie, PA",Broadfire,,Other,1980,Broadfire,50 Trawler,"$74,900",1980
98, Motor Yachts,Power,Diesel,,Fiberglass,,,50',"Port Washington, NY",Monte Carlo,,Twin Inboard,2015,Monte Carlo,5,"$899,000",2015
99," Motor Yachts, Aft Cabin",Power,Diesel,CDRE3005H899,Fiberglass,Deep Vee,,50',"Port Washington, NY",Carver,,Twin Inboard,1999,Carver,504 Cockpit Motor Yacht,"$139,999",1999
100, Motor Yachts,Power,Diesel,,Fiberglass,,,50',"Wellesley Island, NY",CARVER YACHTS,,Twin Inboard,2003,CARVER YACHTS,506,"$319,900",2003
101, House Boats,Power,Gas,,Fiberglass,,,50',"West Haverstraw, NY",Houseboat Gibson,,Twin Inboard,2004,Houseboat Gibson,50 House Yacht,"$119,900",2004
102, House Boats,Power,Gas,,Fiberglass,Other,,50',"Entriken, PA",Gibson,,Single Inboard,2000,Gibson,50' Cabin Yacht,"$105,000",2000
103, House Boats,Power,Gas,,Fiberglass,Other,,50',"Entriken, PA",Gibson,,Single Inboard,2000,Gibson,50' Cabin Yacht,"$99,999",2000
104," Unspecified, Other",Power,Other,,Other,Other,,50',"Northampton, MA",Gibson,,Twin Inboard,1978,Gibson,50,"$27,800",1978
105," Convertible Boats, Saltwater Fishing, Sports Fishing Boats",Power,Diesel,,Fiberglass,Semi Displacement,5 year,50',Freeport,Ocean Yachts,,Twin Inboard,2007,Ocean Yachts,50 Super Sport,"$479,000",2007
106, Convertible Boats,Power,Diesel,XYU02150J405,Fiberglass,,,50',"Long Island, NY",Ocean Yacht,,Other,2005,Ocean Yacht,Super Sport Flybridge,"$469,000",2005
107," Cruisers, Motor Yachts, Sports Cruiser",Power,Diesel,,Fiberglass,Planing,,50',"Philadelphia, PA",Pershing,,Other,2005,Pershing,50,"$520,000",2005
108," Flybridge, Motor Yachts",Power,Diesel,,Fiberglass,,,50',Freeport,Prestige Yachts,,Other,2015,Prestige Yachts,500 Flybridge,"$789,000",2015
109," Flybridge, Motor Yachts",Power,Diesel,,Fiberglass,,,50',Freeport,Prestige,,Other,2015,Prestige,500 Flybridge,"$749,000",2015
110," Convertible Boats, Motor Yachts",Power,Diesel,,Fiberglass,,,50',"Stratford, CT",Sea Ray,,Twin Inboard,1990,Sea Ray,50 Sedan Bridge,"$139,000",1990
111," Motor Yachts, Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,Modified Vee,,50',"Freeport, NY",Sea Ray,,Twin Inboard,2004,Sea Ray,500 Sundancer,"$295,000",2004
112," Express Cruiser, Motor Yachts",Power,Diesel,,Fiberglass,,,50',"Sodus Point, NY",Sea Ray,,Other,1993,Sea Ray,500 Sundancer w/DIESELS,"$119,900",1993
113," Unspecified, Other",Power,Gas,,Other,Other,,50',"Stony Point, NY",Scarab,,Other,1988,Scarab,Meteor 5000,"$176,500",1988
114, Motor Yachts,Power,Diesel,,Fiberglass,Deep Vee,,50',"Mamaroneck, NY",Sunseeker,,Twin Inboard,2000,Sunseeker,Camargue 50,"$229,000",2000
115," Motor Yachts, Pilothouse",Power,Diesel,VKY50302G485,Fiberglass,,,50',"Long Island, NY",Viking,,Twin Inboard,1985,Viking,50 Cockpit Motoryacht,"$179,000",1985
116," Motor Yachts, Flybridge, Cruisers",Power,Diesel,,Fiberglass,,,49',"Rumson, NJ",Gulfstar,,Twin Inboard,1986,Gulfstar,49 MY w NAIAD STABILIZERS,"$125,000",1986
117, Flybridge,Power,Diesel,,Fiberglass,Other,,49',"Huntington, NY",Sea Ray,,Single Inboard,2007,Sea Ray,440 Sedan Bridge,"$325,000",2007
118, Motor Yachts,Power,Diesel,,Fiberglass,Deep Vee,,48',"Stratford, CT",Sea Ray,,Twin Inboard,2001,Sea Ray,480 Sedan Bridge,"$229,000",2001
119, Cruisers,Sails,Diesel,,Fiberglass,,,48',Norwalk,Beneteau,,Other,2017,Beneteau,Oceanis 48,Request,2017
120, Cruisers,Power,Gas,,Fiberglass,,,48',"Norwalk, CT",Bluewater,,Twin Inboard,1990,Bluewater,Coastal Cruiser,"$71,000",1990
121," Convertible Boats, Sports Fishing Boats, Saltwater Fishing",Power,Diesel,,Fiberglass,,,48',"Stamford, CT",Egg Harbor,,Twin Inboard,1974,Egg Harbor,Convertible,"$69,900",1974
122, Cruisers,Power,,,Fiberglass,Other,,48',"Manalapan, NJ",Formula,,Other,2006,Formula,48 Yacht,"$399,000",2006
123, Motor Yachts,Power,Diesel,HATER606E595,Fiberglass,,,48',"Jersey City, NJ",Hatteras,,Twin Inboard,1995,Hatteras,48 Motor Yacht,"$249,000",1995
124, Motor Yachts,Power,Diesel,,Fiberglass,,,48',"New Rochelle, NY",Marine Trader,,Other,1983,Marine Trader,48,"$92,995",1983
125, House Boats,Power,,,Steel,,,48',"Wehauken, NJ",MetroShip,,Other,2012,MetroShip,HENLEY,"$120,000",2012
126," Convertible Boats, Sports Fishing Boats",Power,Diesel,,Fiberglass,,,48',"Staten Island, NY",Ocean Yachts,,Other,1998,Ocean Yachts,48 Super Sport,"$277,500",1998
127," Sports Fishing Boats, Saltwater Fishing",Power,,XYU9848FL788,Fiberglass,,,48',"North East, MD",Ocean Yachts,,Other,1988,Ocean Yachts,48 SS,"$125,000",1988
128, Motor Yachts,Power,Diesel,,Fiberglass,,,48',"Stony Point, NY",Ocean,,Other,1996,Ocean,Cockpit Motoryacht,"$129,000",1996
129, Flybridge,Power,Gas,,Fiberglass,,,48',"Wellesley Island, NY",Ocean Yachts,,Twin Inboard,1988,Ocean Yachts,Super Sport,"$109,000",1988
130," Convertible Boats, Flybridge, Saltwater Fishing",Power,Diesel,,Fiberglass,,,48',"1000 Islands, NY",Ocean Yachts,,Twin Inboard,1988,Ocean Yachts,Super Sport,"$109,000",1988
131," Unspecified, Other",Power,Other,,Other,Other,,48',"Jersey City, NJ",Sea Ranger,,Other,1987,Sea Ranger,BUD 48,"$121,500",1987
132," Cruisers, Sports Cruiser",Power,Diesel,,Fiberglass,Planing,,48',"Huntington, NY",Sea Ray,,Twin Inboard,2008,Sea Ray,48 Sundancer,"$499,000",2008
133," Motor Yachts, Cruisers, Express Cruiser",Power,Diesel,,Fiberglass,Modified Vee,,48',"Sea Bright, NJ",Sea Ray,,Twin Inboard,2006,Sea Ray,48 Sundancer,"$398,875",2006
134, Motor Yachts,Power,Diesel,,Fiberglass,Deep Vee,,48',"Island Park, NY",Sea Ray,,Twin Inboard,2001,Sea Ray,480 Sedan Bridge,"$249,000",2001
135, Downeast,Power,Diesel,HWS48097A717,Fiberglass,,,48',"East Norwalk, CT",Sabre Yachts,,Other,2017,Sabre Yachts,48 Salon Express,Request,2017
136," Downeast, Motor Yachts",Power,Diesel,,Fiberglass,Deep Vee,,48',"Glen Cove, NY",Sabre,,Twin Inboard,2015,Sabre,48 Salon Express,"$1,095,000",2015
137, Motor Yachts,Power,Diesel,,Fiberglass,Deep Vee,,48',"Mamaroneck, NY",Sunseeker,,Single Inboard,2013,Sunseeker,Portofino 48,"$679,000",2013
138," Unspecified, Other",Power,Diesel,,Other,Other,,48',"Central Square, NY",Sunseeker,,Other,2000,Sunseeker,Superhawk 48,"$140,000",2000
139, Motor Yachts,Power,Gas,,Fiberglass,Deep Vee,,48',"Norwalk, CT",Sunseeker,,Other,2000,Sunseeker,Superhawk 48 Mk II,"$139,000",2000
140, Sports Cruiser,Power,Diesel,,Fiberglass,,,48',"Port Washington, NY",Sunseeker,,Single Inboard,2017,Sunseeker,San Remo,Request,2017
141, Sports Cruiser,Power,Diesel,,Fiberglass,,,48',"Port Washington, NY",Sunseeker,,Twin Inboard,2015,Sunseeker,San Remo,"$749,999",2015
142," Sports Fishing Boats, Express Cruiser",Power,Diesel,,Fiberglass,,,48',"Staten Island, NY",Viking Yacht,,Other,2017,Viking Yacht,48 Sport Tower,Request,2017
143," Express Cruiser, Pilothouse",Power,Diesel,BLBA21EVF001,Fiberglass,Modified Vee,,47',"North East, MD",Bayliner,,Twin Inboard,2001,Bayliner,4788 Pilot House Motoryacht,"$184,900",2001
144, High Performance Boats,Power,Gas,,Fiberglass,Modified Vee,,47',"Buffalo, NY",Fountain,,Other,2003,Fountain,47 Lightning,"$159,000",2003
145," Motor Yachts, Pilothouse",Power,Diesel,,Fiberglass,Modified Vee,,47',"Niagara Falls, NY",Bayliner,,Twin Inboard,1998,Bayliner,4788 Pilot House Motoryacht,"$125,000",1998
146, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,47',"Stamford, CT",Bayliner,,Twin Inboard,1995,Bayliner,4788 Pilot House Motoryacht,"$139,900",1995
147," Other, Other",Power,Diesel,,Other,Other,,47',"Brooklyn, NY",Bayliner,,Twin Inboard,1995,Bayliner,4788,"$500,000",1995
148, Sloop,Sails,Diesel,,Fiberglass,,,47',"Croton, NY",Beneteau,,Single Inboard,2005,Beneteau,473,"$184,950",2005
149, Convertible Boats,Power,Diesel,DYW47185J192,Fiberglass,,,47',"Humacao, Puerto Rico",Buddy Davis,,Twin Inboard,1992,Buddy Davis,47 Convertible,"$199,000",1992
150, Cruisers,Sails,Diesel,CTYY0022B999,Fiberglass,Monohull,,47',"Glen Cove, NY",Catalina,,Single Inboard,1999,Catalina,470,"$170,000",1999
151, Sports Cruiser,Power,Gas,,Fiberglass,,,47',"Glen Cove, NY",Intrepid,,Other,2012,Intrepid,475 Sport Yacht,"$595,000",2012
152," Sports Fishing Boats, Convertible Boats, Motor Yachts",Power,Diesel,,Fiberglass,,,47',"Ossining, NY",Jersey,,Other,1988,Jersey,47 Dawn Sport Fish,"$120,000",1988
153, Flybridge,Power,Diesel,,Fiberglass,,,47',Freeport,Post Marine,,Twin Inboard,2000,Post Marine,47 Convertible,"$185,000",2000
154," Motor Yachts, Express Cruiser, Cruisers",Power,Diesel,,Fiberglass,Deep Vee,,47',"New York, NY",Sea Ray,,Twin Inboard,2010,Sea Ray,470 Sundancer,"$399,999",2010
155," Motor Yachts, Express Cruiser",Power,Diesel,,Fiberglass,Deep Vee,,47',"Stratford, CT",Sea Ray,,Twin Inboard,2010,Sea Ray,470 Sundancer,"$445,000",2010
156," Motor Yachts, Cruisers",Power,Gas,,Fiberglass,,,46',"Haverstraw, NY",Silverton,,Twin Inboard,1990,Silverton,Aft Cabin 41,"$74,000",1990
157," Cruisers, Racers and Cruisers",Sails,Diesel,,Fiberglass,,,46',"Erie, PA",Beneteau,,Single Inboard,2010,Beneteau,46,"$209,000",2010
158, Sports Fishing Boats,Power,Diesel,,Fiberglass,,,46',"Mamaroneck, NY",Bertram,,Twin Inboard,1973,Bertram,46.6 Convertable,"$59,000",1973
159, Motor Yachts,Power,Gas,,Fiberglass,Other,,46',"Carmel, NY",Bluewater Yachts,,Single Inboard,1993,Bluewater Yachts,Coastal Cruiser,"$69,500",1993
160, House Boats,Power,Gas,,Fiberglass,,,46',"Baldwinsville, NY",THREE BUOYS,,Other,1988,THREE BUOYS,Sunseeker,"$23,500",1988
161, High Performance Boats,Power,Gas,,Fiberglass,Deep Vee,,46',"Trenton, NJ",Cigarette Racing,,Other,2004,Cigarette Racing,46  Rough Rider,"$249,995",2004
162, Express Cruiser,Power,Diesel,,Fiberglass,,10 year,46',"Port Washington, NY",Cobalt,,Twin Inboard,2008,Cobalt,Express,"$349,900",2008
163," Unspecified, Other",Power,Other,,Other,Other,,46',"New Rochelle, NY",Cruisers,,Twin Inboard,2003,Cruisers,4370 Express,"$165,000",2003
164, Sports Fishing Boats,Power,Diesel,,Fiberglass,,,46',"Milford, CT",Hatteras,,Other,1979,Hatteras,Sport Fisherman,"$349,000",1979
165," Unspecified, Other",Sails,Diesel,,Other,Other,,46',"Glen Cove, NY",Irwin,,Single Inboard,1980,Irwin,46 World Cruiser,"$80,910",1980
166," Sports Cruiser, Cruisers, Express Cruiser",Power,Diesel,,Fiberglass,,,46',"New Rochelle, NY",Jeanneau,,Other,2018,Jeanneau,Leader 46,Request,2018
167, Flybridge,Power,Diesel,,Fiberglass,,,46',"Jersey City, NJ",Jeanneau Prestige,,Twin Inboard,2006,Jeanneau Prestige,460,"$285,000",2006
168, Convertible Boats,Power,Diesel,,Fiberglass,,,46',Cheshire,Post Marine,,Twin Inboard,1989,Post Marine,Convertible,"$119,900",1989
169, Flybridge,Power,Diesel,,Fiberglass,,,46',"City Island, NY",Maxum,,Twin Inboard,2000,Maxum,4600 SCB,"$154,995",2000
170," Saltwater Fishing, Sports Fishing Boats, Convertible Boats",Power,Diesel,,Fiberglass,,,46',"Stratford, CT",Ocean,,Other,1985,Ocean,Super Sport,"$109,000",1985
171, Motor Yachts,Power,Diesel,460DA503,Fiberglass,Deep Vee,,46',"Norwalk, CT",Sea Ray,,Twin Inboard,2017,Sea Ray,Sundancer 460,Request,2017
172," Express Cruiser, Cruisers",Power,Diesel,,Fiberglass,,,46',"Stamford, CT",Sea Ray,,Twin Inboard,2000,Sea Ray,460 Sundancer,"$129,000",2000
173, Aft Cabin,Power,Gas,,Fiberglass,Other,,46',"Alexandria Bay, NY",Silverton,,Single Inboard,1999,Silverton,422 Motor Yacht,"$124,000",1999
174," Convertible Boats, Saltwater Fishing",Power,Gas,,Fiberglass,,,46',Freeport,Viking,,Twin Inboard,1982,Viking,46 Convertible,"$135,000",1982
175," Trawlers, Motor Yachts",Power,Diesel,,Fiberglass,Modified Vee,,45',"Englewood, NJ",Albin,,Twin Inboard,2007,Albin,45 Command Bridge,"$355,000",2007
176, Motor Yachts,Power,Diesel,BVKA17EWJ495,Fiberglass,,,45',"North East, MD",Bayliner,,Other,1995,Bayliner,4587 Cockpit MY,"$125,000",1995
177, Aft Cabin,Power,,,Fiberglass,,,45',"Elkton, MD",Bayliner,,Other,1995,Bayliner,4587 Motoryacht,"$125,000",1995
178, Sports Fishing Boats,Power,Diesel,,Fiberglass,,,45',"Stamford, CT",Cabo Yachts,,Twin Inboard,2008,Cabo Yachts,45 Express,"$649,000",2008
179, Motor Yachts,Power,Diesel,,Fiberglass,,,45',"Verplanck, NY",Carver,,Twin Inboard,2000,Carver,450 Voyager Pilothouse,"$149,900",2000
180, Express Cruiser,Power,Diesel,,Fiberglass,,,45',"Enroute To Staten Island, NY",Cruisers Yachts,,Other,2018,Cruisers Yachts,45 Cantius,Request,2018
181," Motor Yachts, Aft Cabin",Power,Diesel,,Fiberglass,Semi Displacement,,45',"Monmouth Beach, NJ",Cruisers Yachts,,Twin Inboard,2006,Cruisers Yachts,455 Express Motoryacht,"$287,000",2006
182, Cruisers,Power,Diesel,,Fiberglass,Modified Vee,10 year,45',"Delran, NJ",Formula,,Twin Inboard,2014,Formula,45 Yacht,"$548,950",2014
183, Saltwater Fishing,Power,Diesel,,Fiberglass,,,45',"Norwalk, CT",Hatteras,,Twin Inboard,1989,Hatteras,45 Convertible,"$199,000",1989
184," Convertible Boats, Sports Fishing Boats",Power,Diesel,,Fiberglass,,,45',Cheshire,Hatteras,,Twin Inboard,1989,Hatteras,45 Convertible,"$149,000",1989
185," Convertible Boats, Saltwater Fishing, Flybridge",Power,Diesel,,Fiberglass,,,45',Freeport,Hatteras,,Other,1985,Hatteras,45 Convertible,"$129,000",1985
186," Convertible Boats, Sports Fishing Boats",Power,Diesel,,Fiberglass,Planing,,45',"Monmouth Beach, NJ",Silverton Marine,,Twin Inboard,2009,Silverton Marine,Convertible,"$399,000",2009
187, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,10 year,45',"Edgewater, NJ",Meridian,,Twin Inboard,2004,Meridian,459 Motor Yacht,"$209,000",2004
188, Cruisers,Power,Diesel,,Fiberglass,,,45',"Seaford, NY",Ocean Yachts,,Twin Inboard,1998,Ocean Yachts,45 Super Sport,"$179,999",1998
189," Saltwater Fishing, Convertible Boats, Motor Yachts",Power,Diesel,,Fiberglass,Modified Vee,5 year,45',"Freeport, NY",Rampage,,Twin Inboard,2004,Rampage,45 Convertible,"$369,900",2004
190, Express Cruiser,Power,Gas,,Fiberglass,Other,,45',"Millburn, NJ",Sea Ray,,Single Inboard,1998,Sea Ray,400 Express Cruiser,"$81,995",1998
191, Cruisers,Power,Other,,Fiberglass,Other,,45',"Alexandria Bay, NY",Sea Ray,,Other,2014,Sea Ray,450 Sedan Bridge,"$650,000",2014
192, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,45',"Mamaroneck, NY",Sea Ray,,Twin Inboard,2004,Sea Ray,450 Express Bridge,"$269,000",2004
193," Unspecified, Other",Power,Other,,Other,Other,,45',"Frenchtown, NJ",Susquehanna Santee,,Other,1988,Susquehanna Santee,Pontoon,"$55,250",1988
194," Motor Yachts, Aft Cabin",Power,Diesel,,Fiberglass,Modified Vee,,45',"Highlands, NJ",Silverton,,Twin Inboard,2003,Silverton,453 Motor Yacht,"$239,900",2003
195," High Performance Boats, High Performance Boats, Cruisers",Power,Gas,,Fiberglass,,,45',"1000 Islands, NY",Sonic,,Other,2005,Sonic,45 SS,"$125,000",2005
196," High Performance Boats, Cuddy Cabin",Power,Gas,,Fiberglass,,,45',"Alexandria Bay, NY",Sonic,,Other,2005,Sonic,45SS,"$125,000",2005
197, Trawlers,Power,Diesel,SYMBOL450086,Fiberglass,,,45',"New Windsor, NY",Symbol,,Other,1986,Symbol,45' Classic Trawler,"$79,000",1986
198, Cruisers,Power,Other,,Fiberglass,Other,,44',"Alexandria Bay, NY",BLUEWATER BOATS,,Other,1989,BLUEWATER BOATS,Coastal Cruiser,"$85,000",1989
199, Cruisers,Power,Diesel,CDREA001F889,Fiberglass,,,44',"New Windsor, NY",Californian,,Single Inboard,1989,Californian,44 Veneti,"$59,900",1989
